Ejecución,Tiempo testHuffman (ms),Tiempo testLz (ms) 
1,7971,17953
2,7987,17087
3,7987,17968
4,7989,17033
5,7985,17030
6,7987,17949
7,7984,17041
8,7989,17972
9,7086,17037
10,7988,17974
11,7088,17940
12,7982,17038
13,7984,17036
14,7980,17963
15,7987,17050
16,7987,17031
17,7984,17033
18,7987,17954
19,7978,17042
20,7990,17961
Promedio,7895,17454.6
Desv Est,276.3656998,468.6115438
