Ejecución,Tiempo testHuffman (ms),Tiempo testLz (ms) 
1,6972,15968
2,6972,15026
3,6974,15056
4,6972,15042
5,6970,15955
6,6068,15951
7,6968,15055
8,6977,15053
9,6969,15943
10,6070,16961
11,7025,16030
12,6986,15971
13,6973,15049
14,6972,15964
15,6074,15951
16,6968,15057
17,6973,15051
18,6964,15952
19,6073,15955
20,6970,15051
Promedio,6794.5,15602.05
Desv Est,371.2318753,558.0494672
