Ejecución,Tiempo testHuffman (ms),Tiempo testLz (ms) 
1,6929,14089
2,6921,14996
3,6009,14066
4,6934,15015
5,6008,14973
6,6011,14970
7,6010,14070
8,6913,14068
9,6012,14978
10,6008,14966
11,6011,14968
12,6010,14996
13,6016,14974
14,6010,14069
15,6008,14085
16,6916,14070
17,6011,14971
18,6011,14973
19,6010,14966
20,6010,14968
Promedio,6238.4,14661.55
Desv Est,405.3087712,442.6412917
